X,Y,DataZone,OBJECTID,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing,SIMD2020v2_Rank,deciles
-4.37068182225994,55.9128424769102,S01010499,"3994",Drumry East - 04,"856","804","451","251922","671401",28,"1"
-4.38102008145587,55.9105037950538,S01010500,"3995",Drumry West - 01,"1078","1078","398","251267","671163",420,"1"
-4.3819995424506,55.9082109379962,S01010503,"3998",Drumry West - 04,"655","655","321","251197","670910",324,"1"
-3.8934100923817,57.5741325490105,S01010564,"4059",Nairn West - 06,"500","500","269","286861","855367",575,"1"
-4.2168525520777,57.4602980429625,S01010608,"4103",Inverness Drummond - 03,"673","673","306","267107","843284",535,"1"
-4.22572222206429,57.4789390905443,S01010620,"4115","Inverness Central, Raigmore and Longman - 02","631","614","369","266643","845376",458,"1"
-4.23385079831236,57.4790199107476,S01010637,"4132",Inverness Muirtown - 02,"537","519","352","266156","845401",682,"1"
-4.23445596312939,57.4856494202401,S01010641,"4136",Inverness Merkinch - 01,"1015","1015","531","266144","846140",240,"1"
-4.24035800363748,57.4855805871578,S01010642,"4137",Inverness Merkinch - 02,"978","978","451","265790","846144",436,"1"
-4.24264163910378,57.4918028479057,S01010643,"4138",Inverness Merkinch - 03,"741","741","287","265676","846841",174,"1"
-4.24049745101164,57.4900348981079,S01010644,"4139",Inverness Merkinch - 04,"672","665","346","265798","846640",8,"1"
-4.22697866776493,57.7012124888161,S01010735,"4230",Alness - 04,"644","644","244","267380","870116",628,"1"
-4.18010881933688,57.6945982531094,S01010740,"4235",Invergordon - 01,"507","507","260","270149","869289",216,"1"
-3.91579751689044,57.7548681793789,S01010751,"4246",Seaboard - 06,"745","745","333","286091","875521",689,"1"
-3.08137938391152,58.4337533315884,S01010778,"4273",Wick South - 03,"491","491","239","336955","950002",215,"1"
-3.0831688281645,58.4451721518271,S01010784,"4279",Wick North - 03,"743","743","345","336871","951275",659,"1"
-4.81623345626256,55.958958467479,S01010842,"4337","Gourock Central, Upper East and IRH - 01","899","899","613","224290","677576",497,"1"
-4.81572309320768,55.9428895938461,S01010848,"4343","Braeside, Branchton, Lower Larkfield and Ravenscraig - 01","665","665","260","224249","675787",630,"1"
-4.82078258171907,55.9437445783702,S01010849,"4344","Braeside, Branchton, Lower Larkfield and Ravenscraig - 02","951","951","364","223937","675895",493,"1"
-4.82316780333221,55.9437258803255,S01010850,"4345","Braeside, Branchton, Lower Larkfield and Ravenscraig - 03","872","801","373","223788","675899",652,"1"
-4.82711269105116,55.9442286362128,S01010851,"4346","Braeside, Branchton, Lower Larkfield and Ravenscraig - 04","814","814","347","223544","675965",613,"1"
-4.80765455837237,55.9376357037037,S01010854,"4349","Braeside, Branchton, Lower Larkfield and Ravenscraig - 07","923","923","384","224729","675182",644,"1"
-4.79524983075418,55.9495040613897,S01010859,"4354","Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 04","734","734","304","225557","676471",562,"1"
-4.78412861023894,55.9449920980048,S01010861,"4356","Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 06","649","649","332","226231","675941",374,"1"
-4.78659728168255,55.9463564357257,S01010862,"4357","Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 07","540","540","266","226083","676099",17,"1"
-4.7656299899059,55.9499570352677,S01010873,"4368",Greenock West and Central - 04,"547","547","400","227408","676447",101,"1"
-4.78891653212394,55.9389603625952,S01010880,"4375","Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 03","549","549","268","225905","675282",226,"1"
-4.76599425967133,55.9424884823964,S01010884,"4379",Greenock Upper Central - 01,"723","723","408","227352","675617",304,"1"
-4.75823649699227,55.9439837729858,S01010885,"4380",Greenock Upper Central - 02,"958","946","541","227843","675764",133,"1"
-4.7634900513057,55.9442075560912,S01010887,"4382",Greenock Upper Central - 04,"821","821","458","227516","675802",407,"1"
-4.76778104248735,55.9453066502964,S01010888,"4383",Greenock Upper Central - 05,"768","768","437","227253","675935",676,"1"
-4.76995545905118,55.9461476148616,S01010889,"4384",Greenock Upper Central - 06,"524","524","344","227121","676034",206,"1"
-4.76265134953088,55.9470487302256,S01010890,"4385",Greenock Town Centre and East Central - 01,"769","769","507","227581","676116",94,"1"
-4.7598740264779,55.950113126252,S01010891,"4386",Greenock Town Centre and East Central - 02,"425","397","280","227768","676450",1,"1"
-4.75986035218515,55.9463203292056,S01010892,"4387",Greenock Town Centre and East Central - 03,"834","819","531","227752","676028",289,"1"
-4.7541841074996,55.9444340032661,S01010893,"4388",Greenock Town Centre and East Central - 04,"520","511","327","228098","675804",19,"1"
-4.73524225053351,55.9424832520547,S01010894,"4389",Greenock Town Centre and East Central - 05,"688","596","312","229272","675540",580,"1"
-4.73585454268696,55.9414000330818,S01010895,"4390",Greenock Town Centre and East Central - 06,"411","411","256","229229","675421",218,"1"
-4.74074664743973,55.939916022812,S01010896,"4391",Greenock Town Centre and East Central - 07,"667","667","339","228917","675268",311,"1"
-4.74487886062616,55.9365252351001,S01010897,"4392",Greenock Town Centre and East Central - 08,"836","836","380","228644","674901",267,"1"
-4.74078662958152,55.933003041829,S01010898,"4393",Greenock East - 01,"596","596","253","228884","674499",290,"1"
-4.73381297837306,55.9347040745033,S01010900,"4395",Greenock East - 03,"688","688","298","229327","674671",368,"1"
-4.73991133976108,55.9357999439777,S01010901,"4396",Greenock East - 04,"465","465","205","228951","674808",156,"1"
-4.7302614121877,55.9402118628635,S01010903,"4398",Greenock East - 06,"793","793","427","229573","675275",51,"1"
-4.72390707151617,55.9382133459461,S01010904,"4399",Greenock East - 07,"538","528","271","229961","675037",57,"1"
-4.69835722222282,55.9348929074439,S01010910,"4405","Port Glasgow Upper, West and Central - 04","500","500","273","231542","674605",184,"1"
-4.68875600518195,55.9342940152044,S01010911,"4406","Port Glasgow Upper, West and Central - 05","541","541","360","232139","674515",346,"1"
-4.68479344161148,55.9318727402624,S01010912,"4407","Port Glasgow Upper, West and Central - 06","674","674","392","232376","674236",279,"1"
-4.6746816654157,55.9315175894288,S01010916,"4411","Port Glasgow Mid, East and Central - 01","576","576","333","233006","674172",293,"1"
-4.65438181840925,55.92991660977,S01010920,"4415","Port Glasgow Mid, East and Central - 05","591","591","254","234267","673945",403,"1"
-4.66108121082073,55.923713862259,S01010922,"4417","Port Glasgow Mid, East and Central - 07","865","821","346","233822","673271",423,"1"
-4.6467890543689,55.9223501736321,S01010929,"4424",Port Glasgow Upper East - 07,"660","660","271","234709","673085",638,"1"
-3.06938254863756,55.8924471573774,S01011010,"4505",Dalkeith - 01,"569","558","335","333218","667108",404,"1"
-3.06564783155371,55.8950314136413,S01011011,"4506",Dalkeith - 02,"768","753","435","333456","667392",336,"1"
-3.0581863405403,55.8935053523283,S01011012,"4507",Dalkeith - 03,"722","722","313","333920","667215",207,"1"
-3.27970454299385,57.6445361776716,S01011092,"4587","Heldon West, Fogwatt to Inchberry - 02","465","465","181","323709","862346",560,"1"
-4.59004619412736,55.6143613858076,S01011180,"4675",Springside and Rural - 03,"670","670","301","236972","638685",566,"1"
-4.63177850120097,55.6173732424684,S01011196,"4691",Irvine Bourtreehill - 01,"903","903","409","234357","639119",412,"1"
-4.67204751383353,55.6291219106065,S01011216,"4711",Irvine Castlepark North - 05,"482","482","240","231872","640523",319,"1"
-4.6702755259329,55.6282976152525,S01011217,"4712",Irvine Castlepark South - 01,"799","799","380","231980","640427",439,"1"
