"lsoa11","rgn"
"E01008957","E12000005"
"E01008953","E12000005"
"E01008977","E12000005"
"E01009116","E12000005"
"E01009497","E12000005"
"E01033629","E12000005"
"E01008930","E12000005"
"E01009498","E12000005"
"E01009499","E12000005"
"E01009206","E12000005"
"E01009172","E12000005"
"E01009163","E12000005"
"E01009219","E12000005"
"E01009205","E12000005"
"E01009208","E12000005"
"E01009210","E12000005"
"E01009209","E12000005"
"E01009207","E12000005"
"E01009213","E12000005"
"E01009162","E12000005"
"E01009165","E12000005"
"E01009158","E12000005"
"E01009214","E12000005"
"E01009117","E12000005"
"E01009211","E12000005"
"E01009216","E12000005"
"E01009212","E12000005"
"E01009217","E12000005"
"E01009112","E12000005"
"E01009215","E12000005"
"E01009168","E12000005"
"E01009166","E12000005"
"E01032142","E12000005"
"E01009170","E12000005"
"E01032122","E12000005"
"E01033633","E12000005"
"E01009159","E12000005"
"E01009173","E12000005"
"E01032169","E12000005"
"E01009250","E12000005"
"E01009259","E12000005"
"E01009253","E12000005"
"E01009251","E12000005"
"E01009257","E12000005"
"E01009256","E12000005"
"E01009255","E12000005"
"E01009254","E12000005"
"E01009073","E12000005"
"E01009074","E12000005"
"E01009258","E12000005"
"E01008918","E12000005"
"E01008921","E12000005"
"E01008917","E12000005"
"E01008920","E12000005"
"E01008923","E12000005"
"E01008931","E12000005"
"E01008928","E12000005"
"E01008925","E12000005"
"E01008927","E12000005"
"E01009299","E12000005"
"E01009301","E12000005"
"E01009300","E12000005"
"E01009306","E12000005"
"E01009303","E12000005"
"E01009512","E12000005"
"E01009297","E12000005"
"E01009302","E12000005"
"E01009507","E12000005"
"E01009510","E12000005"
"E01009509","E12000005"
"E01009477","E12000005"
"E01009508","E12000005"
"E01009511","E12000005"
"E01009095","E12000005"
"E01009092","E12000005"
"E01009094","E12000005"
"E01009311","E12000005"
"E01009298","E12000005"
"E01009093","E12000005"
"E01009091","E12000005"
"E01009090","E12000005"
"E01009089","E12000005"
"E01009087","E12000005"
"E01009305","E12000005"
"E01009088","E12000005"
"E01009307","E12000005"
"E01009309","E12000005"
"E01009304","E12000005"
"E01009310","E12000005"
"E01009308","E12000005"
"E01009106","E12000005"
"E01009097","E12000005"
"E01009099","E12000005"
"E01009103","E12000005"
"E01010124","E12000005"
"E01010121","E12000005"
"E01010237","E12000005"
"E01010117","E12000005"
"E01010119","E12000005"
"E01010234","E12000005"
"E01010238","E12000005"
"E01010236","E12000005"
"E01010123","E12000005"
"E01010240","E12000005"
"E01010239","E12000005"
"E01010146","E12000005"
"E01010145","E12000005"
"E01010235","E12000005"
"E01009085","E12000005"
"E01009082","E12000005"
"E01009084","E12000005"
"E01009081","E12000005"
"E01009083","E12000005"
"E01009080","E12000005"
"E01009481","E12000005"
"E01009086","E12000005"
"E01009079","E12000005"
"E01010122","E12000005"
"E01010120","E12000005"
"E01010118","E12000005"
"E01010140","E12000005"
"E01010142","E12000005"
"E01010144","E12000005"
"E01010143","E12000005"
"E01010125","E12000005"
"E01010113","E12000005"
"E01010141","E12000005"
"E01010129","E12000005"
"E01010111","E12000005"
"E01010114","E12000005"
"E01010148","E12000005"
"E01010149","E12000005"
"E01010139","E12000005"
"E01010147","E12000005"
"E01010127","E12000005"
"E01010126","E12000005"
"E01010128","E12000005"
"E01010130","E12000005"
"E01010112","E12000005"
"E01010110","E12000005"
"E01010131","E12000005"
"E01009109","E12000005"
"E01009110","E12000005"
"E01032178","E12000005"
"E01009118","E12000005"
"E01009108","E12000005"
"E01009111","E12000005"
"E01009114","E12000005"
"E01009113","E12000005"
"E01009107","E12000005"
"E01009115","E12000005"
"E01033617","E12000005"
"E01033561","E12000005"
"E01009424","E12000005"
"E01009199","E12000005"
"E01009245","E12000005"
"E01009239","E12000005"
"E01009238","E12000005"
"E01009241","E12000005"
"E01009240","E12000005"
"E01009237","E12000005"
"E01009230","E12000005"
"E01009246","E12000005"
"E01009235","E12000005"
"E01010008","E12000005"
"E01010011","E12000005"
"E01009231","E12000005"
"E01009236","E12000005"
"E01010010","E12000005"
"E01009422","E12000005"
"E01009244","E12000005"
"E01009234","E12000005"
"E01009248","E12000005"
"E01009243","E12000005"
"E01009247","E12000005"
"E01009203","E12000005"
"E01009225","E12000005"
"E01009223","E12000005"
"E01010009","E12000005"
"E01010014","E12000005"
"E01010007","E12000005"
"E01010013","E12000005"
"E01010012","E12000005"
"E01009974","E12000005"
"E01009968","E12000005"
"E01009949","E12000005"
"E01009975","E12000005"
"E01009972","E12000005"
"E01010334","E12000005"
"E01010358","E12000005"
"E01010360","E12000005"
"E01010356","E12000005"
"E01010357","E12000005"
"E01010359","E12000005"
"E01010355","E12000005"
"E01009220","E12000005"
"E01009233","E12000005"
"E01009133","E12000005"
"E01009134","E12000005"
"E01009137","E12000005"
"E01009128","E12000005"
"E01009131","E12000005"
"E01009130","E12000005"
"E01009129","E12000005"
"E01009127","E12000005"
"E01009469","E12000005"
"E01009221","E12000005"
"E01009227","E12000005"
"E01009229","E12000005"
"E01009226","E12000005"
"E01009228","E12000005"
"E01009224","E12000005"
"E01009222","E12000005"
"E01009174","E12000005"
"E01009157","E12000005"
"E01009160","E12000005"
"E01009161","E12000005"
"E01009155","E12000005"
"E01032143","E12000005"
"E01032144","E12000005"
"E01032149","E12000005"
"E01032148","E12000005"
"E01032150","E12000005"
"E01009171","E12000005"
"E01009164","E12000005"
"E01009169","E12000005"
"E01009167","E12000005"
"E01032170","E12000005"
"E01032172","E12000005"
"E01032126","E12000005"
"E01032171","E12000005"
"E01031020","E12000005"
"E01031023","E12000005"
"E01031021","E12000005"
"E01031024","E12000005"
"E01031019","E12000005"
"E01031041","E12000005"
"E01031042","E12000005"
"E01031028","E12000005"
"E01031007","E12000005"
"E01031022","E12000005"
"E01032135","E12000005"
"E01032133","E12000005"
"E01032147","E12000005"
"E01032146","E12000005"
"E01032177","E12000005"
"E01031243","E12000005"
"E01032123","E12000005"
"E01032124","E12000005"
"E01033060","E12000005"
"E01032125","E12000005"
"E01031183","E12000005"
"E01031184","E12000005"
"E01031213","E12000005"
"E01032392","E12000005"
"E01031189","E12000005"
"E01031186","E12000005"
"E01031185","E12000005"
"E01031208","E12000005"
"E01031191","E12000005"
"E01031188","E12000005"
"E01031187","E12000005"
"E01008984","E12000005"
"E01008982","E12000005"
"E01031192","E12000005"
"E01031190","E12000005"
"E01032390","E12000005"
"E01033637","E12000005"
"E01008901","E12000005"
"E01009423","E12000005"
"E01033636","E12000005"
"E01008899","E12000005"
"E01009061","E12000005"
"E01008916","E12000005"
"E01008915","E12000005"
"E01032157","E12000005"
"E01032158","E12000005"
"E01032130","E12000005"
"E01032151","E12000005"
"E01032155","E12000005"
"E01033059","E12000005"
"E01033243","E12000005"
"E01033061","E12000005"
"E01032156","E12000005"
"E01032162","E12000005"
"E01032166","E12000005"
"E01033062","E12000005"
"E01032132","E12000005"
"E01032131","E12000005"
"E01032354","E12000005"
"E01032395","E12000005"
"E01032160","E12000005"
"E01032154","E12000005"
"E01032161","E12000005"
"E01032153","E12000005"
"E01032127","E12000005"
"E01032176","E12000005"
"E01032152","E12000005"
"E01032129","E12000005"
"E01032128","E12000005"
"E01032174","E12000005"
"E01032173","E12000005"
"E01032175","E12000005"
"E01032159","E12000005"
"E01009803","E12000005"
"E01009792","E12000005"
"E01009802","E12000005"
"E01009804","E12000005"
"E01009800","E12000005"
"E01032168","E12000005"
"E01032136","E12000005"
"E01009810","E12000005"
"E01009734","E12000005"
"E01009735","E12000005"
"E01009793","E12000005"
"E01009796","E12000005"
"E01009801","E12000005"
"E01009805","E12000005"
"E01009795","E12000005"
"E01009959","E12000005"
"E01009797","E12000005"
"E01009791","E12000005"
"E01009794","E12000005"
"E01009798","E12000005"
"E01009807","E12000005"
"E01009808","E12000005"
"E01009811","E12000005"
"E01009812","E12000005"
"E01009863","E12000005"
"E01009809","E12000005"
"E01009813","E12000005"
"E01009861","E12000005"
"E01009862","E12000005"
"E01009868","E12000005"
